Region,Time,date,day,Westbound,Eastbound,count
F,0,9/8/2021,Wed,0,0,0
F,0,9/8/2021,Wed,0,0,0
F,0,9/8/2021,Wed,0,0,0
F,0,9/8/2021,Wed,0,0,0
F,1,9/8/2021,Wed,0,0,0
F,1,9/8/2021,Wed,0,0,0
F,1,9/8/2021,Wed,0,0,0
F,1,9/8/2021,Wed,0,0,0
F,2,9/8/2021,Wed,0,0,0
F,2,9/8/2021,Wed,0,0,0
F,2,9/8/2021,Wed,0,0,0
F,2,9/8/2021,Wed,0,0,0
F,3,9/8/2021,Wed,0,0,0
F,3,9/8/2021,Wed,0,0,0
F,3,9/8/2021,Wed,0,0,0
F,3,9/8/2021,Wed,0,0,0
F,4,9/8/2021,Wed,0,0,0
F,4,9/8/2021,Wed,0,0,0
F,4,9/8/2021,Wed,0,0,0
F,4,9/8/2021,Wed,0,0,0
F,5,9/8/2021,Wed,0,0,0
F,5,9/8/2021,Wed,0,1,1
F,5,9/8/2021,Wed,0,0,0
F,5,9/8/2021,Wed,0,0,0
F,6,9/8/2021,Wed,0,0,0
F,6,9/8/2021,Wed,0,0,0
F,6,9/8/2021,Wed,0,1,1
F,6,9/8/2021,Wed,0,1,1
F,7,9/8/2021,Wed,0,0,0
F,7,9/8/2021,Wed,1,1,2
F,7,9/8/2021,Wed,0,0,0
F,7,9/8/2021,Wed,0,0,0
F,8,9/8/2021,Wed,1,0,1
F,8,9/8/2021,Wed,1,0,1
F,8,9/8/2021,Wed,2,4,6
F,8,9/8/2021,Wed,1,1,2
F,9,9/8/2021,Wed,0,2,2
F,9,9/8/2021,Wed,2,0,2
F,9,9/8/2021,Wed,1,0,1
F,9,9/8/2021,Wed,1,1,2
F,10,9/8/2021,Wed,4,1,5
F,10,9/8/2021,Wed,0,0,0
F,10,9/8/2021,Wed,1,3,4
F,10,9/8/2021,Wed,0,1,1
F,11,9/8/2021,Wed,1,2,3
F,11,9/8/2021,Wed,2,1,3
F,11,9/8/2021,Wed,0,1,1
F,11,9/8/2021,Wed,1,1,2
F,12,9/8/2021,Wed,0,0,0
F,12,9/8/2021,Wed,2,0,2
F,12,9/8/2021,Wed,2,1,3
F,12,9/8/2021,Wed,1,0,1
F,13,9/8/2021,Wed,2,3,5
F,13,9/8/2021,Wed,0,1,1
F,13,9/8/2021,Wed,1,1,2
F,13,9/8/2021,Wed,0,4,4
F,14,9/8/2021,Wed,0,1,1
F,14,9/8/2021,Wed,3,2,5
F,14,9/8/2021,Wed,6,0,6
F,14,9/8/2021,Wed,1,2,3
F,15,9/8/2021,Wed,3,1,4
F,15,9/8/2021,Wed,3,3,6
F,15,9/8/2021,Wed,5,4,9
F,15,9/8/2021,Wed,2,4,6
F,16,9/8/2021,Wed,0,1,1
F,16,9/8/2021,Wed,0,0,0
F,16,9/8/2021,Wed,1,3,4
F,16,9/8/2021,Wed,2,1,3
F,17,9/8/2021,Wed,2,3,5
F,17,9/8/2021,Wed,2,5,7
F,17,9/8/2021,Wed,5,2,7
F,17,9/8/2021,Wed,3,8,11
F,18,9/8/2021,Wed,4,3,7
F,18,9/8/2021,Wed,6,5,11
F,18,9/8/2021,Wed,8,3,11
F,18,9/8/2021,Wed,3,2,5
F,19,9/8/2021,Wed,5,4,9
F,19,9/8/2021,Wed,4,6,10
F,19,9/8/2021,Wed,1,2,3
F,19,9/8/2021,Wed,3,19,22
F,20,9/8/2021,Wed,1,1,2
F,20,9/8/2021,Wed,0,0,0
F,20,9/8/2021,Wed,0,0,0
F,20,9/8/2021,Wed,0,0,0
F,21,9/8/2021,Wed,0,0,0
F,21,9/8/2021,Wed,0,0,0
F,21,9/8/2021,Wed,0,0,0
F,21,9/8/2021,Wed,0,0,0
F,22,9/8/2021,Wed,0,0,0
F,22,9/8/2021,Wed,0,0,0
F,22,9/8/2021,Wed,0,0,0
F,22,9/8/2021,Wed,0,0,0
F,23,9/8/2021,Wed,0,0,0
F,23,9/8/2021,Wed,0,0,0
F,23,9/8/2021,Wed,0,0,0
F,23,9/8/2021,Wed,0,0,0
F,0,9/9/2021,Thu,0,0,0
F,0,9/9/2021,Thu,0,0,0
F,0,9/9/2021,Thu,0,0,0
F,0,9/9/2021,Thu,0,0,0
F,1,9/9/2021,Thu,0,0,0
F,1,9/9/2021,Thu,0,0,0
F,1,9/9/2021,Thu,0,0,0
F,1,9/9/2021,Thu,0,0,0
F,2,9/9/2021,Thu,0,0,0
F,2,9/9/2021,Thu,0,0,0
F,2,9/9/2021,Thu,0,0,0
F,2,9/9/2021,Thu,0,0,0
F,3,9/9/2021,Thu,0,0,0
F,3,9/9/2021,Thu,0,0,0
F,3,9/9/2021,Thu,0,0,0
F,3,9/9/2021,Thu,0,0,0
F,4,9/9/2021,Thu,0,0,0
F,4,9/9/2021,Thu,0,0,0
F,4,9/9/2021,Thu,0,0,0
F,4,9/9/2021,Thu,0,0,0
F,5,9/9/2021,Thu,1,1,2
F,5,9/9/2021,Thu,0,0,0
F,5,9/9/2021,Thu,0,0,0
F,5,9/9/2021,Thu,0,0,0
F,6,9/9/2021,Thu,0,0,0
F,6,9/9/2021,Thu,0,0,0
F,6,9/9/2021,Thu,0,0,0
F,6,9/9/2021,Thu,0,0,0
F,7,9/9/2021,Thu,1,1,2
F,7,9/9/2021,Thu,1,0,1
F,7,9/9/2021,Thu,3,2,5
F,7,9/9/2021,Thu,1,1,2
F,8,9/9/2021,Thu,0,1,1
F,8,9/9/2021,Thu,4,2,6
F,8,9/9/2021,Thu,0,1,1
F,8,9/9/2021,Thu,5,2,7
F,9,9/9/2021,Thu,15,1,16
F,9,9/9/2021,Thu,2,1,3
F,9,9/9/2021,Thu,5,3,8
F,9,9/9/2021,Thu,2,3,5
F,10,9/9/2021,Thu,8,3,11
F,10,9/9/2021,Thu,2,6,8
F,10,9/9/2021,Thu,4,0,4
F,10,9/9/2021,Thu,0,2,2
F,11,9/9/2021,Thu,2,4,6
F,11,9/9/2021,Thu,1,5,6
F,11,9/9/2021,Thu,0,4,4
F,11,9/9/2021,Thu,0,6,6
F,12,9/9/2021,Thu,4,1,5
F,12,9/9/2021,Thu,1,2,3
F,12,9/9/2021,Thu,0,2,2
F,12,9/9/2021,Thu,4,4,8
F,13,9/9/2021,Thu,1,0,1
F,13,9/9/2021,Thu,2,0,2
F,13,9/9/2021,Thu,4,1,5
F,13,9/9/2021,Thu,2,1,3
F,14,9/9/2021,Thu,2,1,3
F,14,9/9/2021,Thu,3,1,4
F,14,9/9/2021,Thu,0,1,1
F,14,9/9/2021,Thu,3,2,5
F,15,9/9/2021,Thu,5,0,5
F,15,9/9/2021,Thu,2,1,3
F,15,9/9/2021,Thu,0,2,2
F,15,9/9/2021,Thu,1,2,3
F,16,9/9/2021,Thu,2,1,3
F,16,9/9/2021,Thu,2,3,5
F,16,9/9/2021,Thu,1,2,3
F,16,9/9/2021,Thu,2,2,4
F,17,9/9/2021,Thu,1,1,2
F,17,9/9/2021,Thu,5,5,10
F,17,9/9/2021,Thu,2,1,3
F,17,9/9/2021,Thu,3,1,4
F,18,9/9/2021,Thu,5,2,7
F,18,9/9/2021,Thu,2,3,5
F,18,9/9/2021,Thu,0,3,3
F,18,9/9/2021,Thu,1,4,5
F,19,9/9/2021,Thu,1,1,2
F,19,9/9/2021,Thu,4,1,5
F,19,9/9/2021,Thu,0,2,2
F,19,9/9/2021,Thu,1,4,5
F,20,9/9/2021,Thu,1,2,3
F,20,9/9/2021,Thu,0,0,0
F,20,9/9/2021,Thu,0,0,0
F,20,9/9/2021,Thu,0,0,0
F,21,9/9/2021,Thu,0,0,0
F,21,9/9/2021,Thu,0,0,0
F,21,9/9/2021,Thu,0,0,0
F,21,9/9/2021,Thu,0,0,0
F,22,9/9/2021,Thu,0,0,0
F,22,9/9/2021,Thu,0,0,0
F,22,9/9/2021,Thu,0,0,0
F,22,9/9/2021,Thu,0,0,0
F,23,9/9/2021,Thu,0,0,0
F,23,9/9/2021,Thu,0,0,0
F,23,9/9/2021,Thu,0,0,0
F,23,9/9/2021,Thu,0,0,0
F,0,9/10/2021,Fri,0,0,0
F,0,9/10/2021,Fri,0,0,0
F,0,9/10/2021,Fri,0,0,0
F,0,9/10/2021,Fri,0,0,0
F,1,9/10/2021,Fri,0,0,0
F,1,9/10/2021,Fri,0,0,0
F,1,9/10/2021,Fri,0,0,0
F,1,9/10/2021,Fri,0,0,0
F,2,9/10/2021,Fri,0,0,0
F,2,9/10/2021,Fri,0,0,0
F,2,9/10/2021,Fri,0,0,0
F,2,9/10/2021,Fri,0,0,0
F,3,9/10/2021,Fri,0,0,0
F,3,9/10/2021,Fri,0,0,0
F,3,9/10/2021,Fri,0,0,0
F,3,9/10/2021,Fri,0,0,0
F,4,9/10/2021,Fri,0,0,0
F,4,9/10/2021,Fri,0,0,0
F,4,9/10/2021,Fri,0,0,0
F,4,9/10/2021,Fri,0,0,0
F,5,9/10/2021,Fri,0,0,0
F,5,9/10/2021,Fri,0,0,0
F,5,9/10/2021,Fri,0,0,0
F,5,9/10/2021,Fri,0,0,0
F,6,9/10/2021,Fri,1,0,1
F,6,9/10/2021,Fri,0,0,0
F,6,9/10/2021,Fri,0,0,0
F,6,9/10/2021,Fri,2,1,3
F,7,9/10/2021,Fri,0,0,0
F,7,9/10/2021,Fri,2,1,3
F,7,9/10/2021,Fri,0,0,0
F,7,9/10/2021,Fri,0,1,1
F,8,9/10/2021,Fri,1,2,3
F,8,9/10/2021,Fri,0,0,0
F,8,9/10/2021,Fri,1,1,2
F,8,9/10/2021,Fri,1,1,2
F,9,9/10/2021,Fri,1,0,1
F,9,9/10/2021,Fri,3,3,6
F,9,9/10/2021,Fri,0,1,1
F,9,9/10/2021,Fri,2,1,3
F,10,9/10/2021,Fri,3,0,3
F,10,9/10/2021,Fri,6,4,10
F,10,9/10/2021,Fri,5,2,7
F,10,9/10/2021,Fri,2,4,6
F,11,9/10/2021,Fri,1,1,2
F,11,9/10/2021,Fri,6,3,9
F,11,9/10/2021,Fri,1,3,4
F,11,9/10/2021,Fri,7,3,10
F,12,9/10/2021,Fri,4,4,8
F,12,9/10/2021,Fri,3,4,7
F,12,9/10/2021,Fri,1,4,5
F,12,9/10/2021,Fri,4,3,7
